NÚM.,NÚMERO DE IDENTIFICACIÓN,CARÁCTER,NOMBRE,SIGLAS DEPENDENCIA O ENTIDAD,ESTATUS,FECHA JUNTA DE ACLARACIONES,FECHA DE PRESENTACIÓN Y APERTURA DE PROPOSICIONES,TIPO DE PUBLICACIÓN,TIPO DE CONTRATACIÓN,CÓDIGO DE EXPEDIENTE,UNIDAD COMPRADORA,ENTIDAD FEDERATIVA
1,AA-51-GYN-051GYN022-N-59-2023,NACIONAL,ADQUISICION DE MATERIALES VARIOS,ISSSTE,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2023-00104514,051GYN022 - DEPARTAMENTO DE RECURSOS MATERIALES Y OBRAS,TLAXCALA
2,AA-12-NCD-012NCD001-I-413-2023,INTERNACIONAL ABIERTO,REACTIVOS Y MATERIALES DE LABORATORIO PARA ATENCION A PROTOCOLOS,INER,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2023-00105530,012NCD001 - DEPARTAMENTO DE ADQUISICIONES,CIUDAD DE MÉXICO
3,AA-48-E00-048E00995-N-238-2023,NACIONAL,"PRESTAR SUS SERVICIOS PROFESIONALES COMO PIANISTA ACOMPAÑANTE, DURANTE LOS ENSAY",INBAL,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00001929,048E00995 - DIRECCION DE RECURSOS MATERIALES,CIUDAD DE MÉXICO
4,AO-89-K08-830193996-N-3-2024,NACIONAL,TRABAJOS EXTRAORDINARIOS DE LA REHABILITACIÓN DEL PARQUE SUPERACIÓN CIUDADANA,089K08,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,OBRA PÚBLICA,E-2024-00040990,830193996 - DIRECCIÓN DE OBRAS PÚBLICAS Y DESARROLLO URBANO,VERACRUZ
5,AA-32-412-032000001-N-128-2024,NACIONAL,MANTENIMIENTO PREVENTIVO Y CORRECTIVO A SERVIDORES,TFJA,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00035160,032000001 - DIRECCION GENERAL DE RECURSOS MATERIALES Y SERVICIOS GENERALES,CIUDAD DE MÉXICO
6,AA-15-412-015000999-N-787-2024,NACIONAL,PRESTADOR DE SERVICIOS,SEDATU,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00038966,015000999 - DIRECCION GENERAL DE RECURSOS MATERIALES Y SERVICIOS GENERALES,CIUDAD DE MÉXICO
7,AA-51-GYN-051GYN024-N-29-2024,NACIONAL,SERVICIOS MEDICOS SUBROGADOS DE ESPECIALIZACION,ISSSTE,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00030489,051GYN024 - COORDINACION DE RECURSOS MATERIALES,SINALOA
8,AA-08-VSS-008VSS986-N-232-2024,NACIONAL,ABARROTES COMESTIBLES,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00088230,008VSS986 - SUBGERENCIA DE U.O. SONORA ABASTO,SONORA
9,AA-08-VSS-008VSS008-N-679-2024,NACIONAL,ABARROTES COMESTIBLES,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00088477,008VSS008 - SUBGERENCIA OPERACIONES REGIONAL NORTE CENTRO,CHIHUAHUA
10,AA-08-VSS-008VSS998-N-926-2024,NACIONAL,ABARROTES COMESTIBLES,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00090794,008VSS998 - DIRECCIÓN COMERCIAL,CIUDAD DE MÉXICO
11,AA-18-T0Q-018T0Q002-N-151-2024,NACIONAL,SERVICIO DE RADIOCOMUNICACIÓN Y LOCALIZACIÓN,ININ,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00089646,018T0Q002 - SERVICIOS GENERALES,MÉXICO
12,AA-48-VZG-048VZG999-N-152-2023,NACIONAL,TEZCATLIPOCA FLORES GOCHI,FONART,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00101967,048VZG999 - DIRECCION DE ADMINISTRACION Y FINANZAS,CIUDAD DE MÉXICO
13,AA-08-VSS-008VSS999-N-99-2024,NACIONAL,ABARROTES COMESTIBLES,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00032549,008VSS999 - SUBGERENCIA DE LA UNIDAD OPERATIVA NUEVO LEÓN,NUEVO LEÓN
14,AA-11-B01-011B01001-N-1301-2024,NACIONAL,EDITOR    .,ONCETV,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00034505,011B01001 - DIRECCION DE ADMINISTRACION Y FINANZAS,CIUDAD DE MÉXICO
15,AA-11-B01-011B01001-N-1551-2024,NACIONAL,SUPERVISOR DE CLOSED CAPTION A,ONCETV,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00035295,011B01001 - DIRECCION DE ADMINISTRACION Y FINANZAS,CIUDAD DE MÉXICO
16,AA-16-B00-016B00026-N-8-2024,NACIONAL,ADQUISICIÓN DE ARTÍCULOS Y HERRAMIENTAS MENORES DE FERRETERÍA PARA EL OCB,CONAGUA,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00034138,016B00026 - DIRECCION DE ADMINISTRACION,MORELOS
17,AA-12-NDF-012NDF999-N-125-2025,NACIONAL,"CONTRATO INRLGII/2025/232, REACTIVOS PARA EL LABORATORIO DE MICROBIOLOGÍA CLINIC",INR,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2025-00040216,012NDF999 - SUBDIRECCION DE COMPRAS Y SUMINISTROS,CIUDAD DE MÉXICO
18,AA-12-NDY-012NDY001-N-143-2025,NACIONAL,SE REQUIERE DE LA CONTRATACIÓN DE SERVICIOS PROFESIONALES,INSP,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2025-00042403,012NDY001 - DEPARTAMENTO DE SERVICIOS GENERALES Y MANTENIMIENTO,MORELOS
19,AA-51-GYN-051GYN060-N-53-2025,NACIONAL,SERVICIO MÉDICO SUBROGADO DE ESTUDIOS DE DIAGNÓSTICO.,ISSSTE,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2025-00040323,051GYN060 - DEPARTAMENTO DE RECURSOS MATERIALES Y OBRAS,DURANGO
20,AA-06-A00-006A00997-N-806-2025,NACIONAL,01-24-1357   SERVICIOS PROFESIONALES PARA LA ELABORACION DEL AVALUO,INDAABIN,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2025-00041449,006A00997 - DIRECCIÓN GENERAL DE AVALÚOS Y OBRAS,CIUDAD DE MÉXICO
21,AA-18-T0Q-018T0Q002-N-21-2025,NACIONAL,MANTENIMIENTO CORRECTIVO DEL EQUIPO LASER DE ND:YAG,ININ,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2025-00042936,018T0Q002 - DEPARTAMENTO DE SERVICIOS GENERALES Y MANTENIMIENTO,MÉXICO
22,AA-18-T0O-018T0O004-N-311-2023,NACIONAL,REFACCIONES Y ACCESORIOS MENORES,IMP,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2023-00096279,018T0O004 - GERENCIA DE PROVEEDURIA Y SERVICIOS,CIUDAD DE MÉXICO
23,AA-08-IZC-008IZC999-N-268-2023,NACIONAL,EVALUACIÓN DEL CUMPLIMIENTO Y APLICACIÓN DE LAS NORMAS- NOM-STPS,COLPOS,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00096050,008IZC999 - DEPARTAMENTO DE ADQUISICIONES Y CONTRATOS,VERACRUZ
24,AA-06-G0N-006G0N001-N-155-2023,NACIONAL,ESPACIOS EN MEDIOS IMPRESOS DEL PROGRAMA DE COMUNICACIÓN SOCIAL DE BANCOMEXT,BANCOMEXT,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00095758,006G0N001 - SUBDIRECCIÓN DE ADQUISICIONES DE BIENES MUEBLES Y SERVICIOS,CIUDAD DE MÉXICO
25,AA-06-HIU-006HIU001-N-166-2023,NACIONAL,SERVICIOS DE ESPACIOS PUBLICITARIOS EN MEDIOS DIGITALES,NAFIN,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00095461,006HIU001 - SUBGERENCIA DE ADQUISICIONES,CIUDAD DE MÉXICO
26,AA-06-HJY-006HJY001-N-134-2023,NACIONAL,SERVICIO DE EXHIBICIÓN DE PUBLICIDAD EN MOBILIARIO URBANO,PRONOSTICOS,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00095586,006HJY001 - GERENCIA DE RECURSOS MATERIALES,CIUDAD DE MÉXICO
27,AA-12-NBD-012NBD001-I-411-2023,INTERNACIONAL ABIERTO,"MATERIALES, ACCESORIOS Y SUMINISTROS DE LABORATORIO",HGM,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2023-00095401,012NBD001 - DIRECCION DE ADMINISTRACION Y FINANZAS,CIUDAD DE MÉXICO
28,AA-16-RHQ-016RHQ001-N-569-2024,NACIONAL,SERVICIO DE MEDIOS DE COMUNICACIÓN PARA DIFUSIÓN DE LA CAMPAÑA DE COMUNICACIÓN,CONAFOR,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00047472,"016RHQ001 - GERENCIA DE RECURSOS MATERIALES, UNIDAD DE ADMINISTRACION Y FINANZAS",JALISCO
29,AA-11-L4J-011L4J999-N-296-2024,NACIONAL,INSTALACION DE CO2 Y OXIGENO PARA INCUBADORAS,CINVESTAV,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00054588,011L4J999 - SUBDIRECCION DE RECURSOS MATERIALES,CIUDAD DE MÉXICO
30,AA-08-VSS-008VSS985-N-482-2023,NACIONAL,HARINA DE MAIZ CHETUMAL,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2023-00113536,008VSS985 - GERENCIA REGIONAL PENINSULAR,QUINTANA ROO
31,AA-50-GYR-050GYR003-N-253-2023,NACIONAL,ADQUISICIONES DE VÍVERES PARA EL CIERRE DEL EJERCICIO 2023,IMSS,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00117058,050GYR003 - JEFATURA DE SERVICIOS ADMINISTRATIVOS,BAJA CALIFORNIA
32,AA-08-VSS-008VSS008-N-853-2023,NACIONAL,ABARROTES COMESTIBLES,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2023-00116214,008VSS008 - SUBGERENCIA OPERACIONES REGIONAL NORTE CENTRO,CHIHUAHUA
33,AA-08-VSS-008VSS980-N-452-2023,NACIONAL,MEZCLA DE LECHE CON G.V. R/GRASA FORT FR,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2023-00114116,008VSS980 - UNIDAD OPERATIVA GUERRERO - ABASTO,GUERRERO
34,AA-08-VSS-008VSS013-N-712-2023,NACIONAL,DETERGENTE EN POLVO,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2023-00115643,008VSS013 - GERENCIA REGIONAL OAXACA,OAXACA
35,AA-08-VSS-008VSS975-N-281-2023,NACIONAL,ABARROTES NO COMESTIBLES,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2023-00115908,"008VSS975 - UNIDAD OPERATIVA CAMPECHE, OPERACIONES Y ABASTO",CAMPECHE
36,AA-12-NDF-012NDF999-T-820-2023,INTERNACIONAL BAJO LA COBERTURA DE TRATADOS,"CONSOLIDADO/INSABI/INRLGII/29/2023-2024 QUIMED, S.A. DE C.V.",INR,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2023-00109237,012NDF999 - SUBDIRECCION DE COMPRAS Y SUMINISTROS,CIUDAD DE MÉXICO
37,AA-08-VSS-008VSS977-N-312-2023,NACIONAL,ABARROTES NO COMESTIBLES,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2023-00108258,"008VSS977 - UNIDAD OPERATIVA NAYARIT, ABASTO",NAYARIT
38,AA-15-412-015000999-N-829-2024,NACIONAL,PRESTADOR DE SERVICIOS,SEDATU,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00039599,015000999 - DIRECCION GENERAL DE RECURSOS MATERIALES Y SERVICIOS GENERALES,CIUDAD DE MÉXICO
39,AA-12-NEF-012NEF001-T-25-2024,INTERNACIONAL BAJO LA COBERTURA DE TRATADOS,"25, ADQUISICIÓN DE MEDICAMENTOS E INSUMOS PARA LA SALUD 2024 (GENÉRICOS).",BIRMEX,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00029216,012NEF001 - DIRECCION GENERAL,MÉXICO
40,AA-11-B00-011B00001-N-2638-2024,NACIONAL,CONTRATACIÓN DE SERVICIOS PROFESIONALES QUE REQUIERE LA SECRETARÍA GENERAL P5,IPN,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00035114,011B00001 - DIRECCION DE RECURSOS MATERIALES E INFRAESTRUCTURA,CIUDAD DE MÉXICO
41,AA-47-AYJ-006AYJ999-N-9-2024,NACIONAL,SERVICIO DE TALLER DE ALTA ESPECIALIDAD PARA LA INTEGRACIÓN DE CRITERIOS Y ANÁLI,CEAV,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00030665,006AYJ999 - UNIDAD DE ADMINISTRACIÓN Y FINANZAS,CIUDAD DE MÉXICO
42,AA-11-B00-011B00001-N-465-2023,NACIONAL,PRESTACION DE SERVICIOS PROFESIONALES QUE REQUIERE LA ENCB,IPN,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00011585,011B00001 - DIRECCION DE RECURSOS MATERIALES E INFRAESTRUCTURA,CIUDAD DE MÉXICO
43,AA-48-410-048410003-N-482-2023,NACIONAL,PRESTACIÓN DE SERVICIOS PROFESIONALES CONSISTENTES EN COADYUVAR,CULTURA,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00011165,048410003 - DEPARTAMENTO DE COMITE,CIUDAD DE MÉXICO
44,AA-06-E00-006E00029-N-3-2023,NACIONAL,SERVICIO DE MANTENIMIENTO Y RECARGA A EXTINTORES EN LOS INMUEBLES DEL SAT,SAT,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00010965,006E00029 - SUBADMINISTRACION DE RECURSOS Y SERVICIOS DE MERIDA,YUCATÁN
45,AA-08-VSS-008VSS987-N-62-2024,NACIONAL,ABARROTES COMESTIBLES,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00079576,008VSS987 - SUBGERENCIA REGIONAL TLAXCALA,TLAXCALA
46,AA-11-B00-011B00001-N-1525-2023,NACIONAL,PRESTACION DE SERVICIOS PROFESIONALES DAE 32,IPN,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00023247,011B00001 - DIRECCION DE RECURSOS MATERIALES E INFRAESTRUCTURA,CIUDAD DE MÉXICO
47,AA-48-D00-048D00001-N-43-2023,NACIONAL,INAH-DDEH-CS-32886-0001/23,INAH,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00025337,048D00001 - COORDINACION NACIONAL DE RECURSOS MATERIALES Y SERVICIOS,CIUDAD DE MÉXICO
48,AA-08-VSS-008VSS986-N-50-2023,NACIONAL,COLGATE TRIPLE ACCION EXTRA BLANCURA,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2023-00026522,008VSS986 - SUBGERENCIA DE U.O. SONORA ABASTO,SONORA
49,AA-12-NDY-012NDY001-N-152-2023,NACIONAL,CREAR ELEMENTOS GRÁFICOS Y PUBLICACIÓN DE INFORMACIÓN DE LOS PROGRAMAS ACADÉMICO,INSP,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00027295,012NDY001 - DEPARTAMENTO DE SERVICIOS GENERALES Y MANTENIMIENTO,MORELOS
50,AA-08-VSS-008VSS974-N-257-2023,NACIONAL,SALVADO ALIMENTO PARA GANADO,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2023-00113506,008VSS974 - UNIDAD OPERATIVA COAHUILA,COAHUILA DE ZARAGOZA
51,AA-08-VSS-008VSS977-N-388-2023,NACIONAL,MERCANCIAS GENERALES,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2023-00113744,"008VSS977 - UNIDAD OPERATIVA NAYARIT, ABASTO",NAYARIT
52,AA-08-VSS-008VSS004-N-148-2023,NACIONAL,PRODUCTOS DIVERSOS,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2023-00117120,008VSS004 - SUBGERENCIA MICHOACÁN,MICHOACÁN DE OCAMPO
53,AA-08-VSS-008VSS985-N-656-2023,NACIONAL,GALLETAS CHETUMAL,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2023-00114840,008VSS985 - GERENCIA REGIONAL PENINSULAR,QUINTANA ROO
54,AA-06-A00-006A00997-N-4949-2023,NACIONAL,03-23-275     SERVICIOS PROFESIONALES PARA LA ELABORACIÓN DEL AVALÚO,INDAABIN,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00118966,006A00997 - DIRECCIÓN GENERAL DE AVALÚOS Y OBRAS,CIUDAD DE MÉXICO
55,AA-06-A00-006A00997-N-3974-2025,NACIONAL,2025-6680   SERVICIOS PROFESIONALES PARA LA ELABORACION DEL AVALUO,INDAABIN,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2025-00111084,006A00997 - DIRECCIÓN GENERAL DE AVALÚOS Y OBRAS,CIUDAD DE MÉXICO
56,AA-11-MAX-011MAX001-N-717-2025,NACIONAL,"IMPRESIÓN EN PAPEL SEGURIDAD CON TINTAS ESPECIALES, CANDADOS DE SEGURIDAD",IEPSA,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2025-00109192,011MAX001 - SUBGERENCIA DE ADQUISICIONES Y CONTRATACION DE SERVICIOS,CIUDAD DE MÉXICO
57,AA-08-VSS-008VSS983-N-499-2025,NACIONAL,MERCANCIAS GENERALES,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2025-00107516,008VSS983 - DIRECCIÓN DE COMERCIALIZACIÓN,MÉXICO
58,AA-08-VSS-008VSS008-N-188-2025,NACIONAL,ABARROTES COMESTIBLES,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2025-00037868,008VSS008 - SUBGERENCIA OPERACIONES REGIONAL NORTE CENTRO,CHIHUAHUA
59,AA-13-312-013000999-N-2-2023,NACIONAL,13-0004/23 REQ 2524 CEMENAV016 MANTENIMIENTO Y CONSERVACIÓN DE BINES INFORMÁTICO,SEMAR,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2023-00001777,013000999 - DIRECCION GENERAL ADJUNTA DE ADQUISICIONES,CIUDAD DE MÉXICO
60,AA-38-90W-03890W999-N-164-2024,NACIONAL,SERVICIO DE VIGILANCIA PARA LA UNIDAD REGIONAL NORESTE,CIESAS,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2025-00032613,"03890W999 - DIRECCION DE ADMINISTRACION, DEPARTAMENTO DE SERVICIOS GENERALES",CIUDAD DE MÉXICO
61,AA-50-GYR-050GYR030-N-144-2024,NACIONAL,AA - N-144- 2024 - ADQUISICION DE MEDICAMENTO Y ESTUPEFACIENTES/PSICOTROPICOS,IMSS,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00060247,050GYR030 - COORDINACION DE ABASTECIMIENTO Y EQUIPAMIENTO,BAJA CALIFORNIA SUR
62,AA-11-B00-011B00001-N-4605-2024,NACIONAL,ADQUISICIÓN DE HERRAMIENTAS MENORES,IPN,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00056332,011B00001 - DIRECCION DE RECURSOS MATERIALES E INFRAESTRUCTURA,CIUDAD DE MÉXICO
63,AA-08-VSS-008VSS013-N-232-2024,NACIONAL,ABARROTES COMESTIBLES,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00057603,008VSS013 - GERENCIA REGIONAL OAXACA,OAXACA
64,AA-08-VSS-008VSS983-N-481-2023,NACIONAL,ABARROTES COMESTIBLES,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2023-00091717,008VSS983 - DIRECCIÓN DE COMERCIALIZACIÓN,MÉXICO
65,AA-06-G1C-006G1C001-N-129-2023,NACIONAL,CONTRATACIÓN DE UN MEDIO DE COMUNICACIÓN PARA LA DIFUSIÓN DE LA CAMPAÑA,BANOBRAS,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00092883,006G1C001 - GERENCIA DE ADQUISICIONES,CIUDAD DE MÉXICO
66,AA-08-VSS-008VSS991-N-421-2023,NACIONAL,AZUCAR ESTANDAR,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2023-00092102,"008VSS991 - UNIDAD OPERATIVA SAN LUIS POTOSÍ, SUBGERENCIA DE LA UNIDAD OPERATIVA",SAN LUIS POTOSÍ
67,AA-12-NAW-012NAW001-N-676-2023,NACIONAL,CONTRATACIÓN DE DIRECTOR RESPONSABLE DE OBRA D.R.O,HJM,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00090253,012NAW001 - DIRECCION DE ADMINISTRACION,CIUDAD DE MÉXICO
68,AA-08-VSS-008VSS008-N-608-2023,NACIONAL,GALLETAS VARIAS,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2023-00092100,008VSS008 - SUBGERENCIA OPERACIONES REGIONAL NORTE CENTRO,CHIHUAHUA
69,AA-47-AYL-006AYL998-N-589-2023,NACIONAL,SERVICIO DE DESARROLLO DE CONTENIDOS Y CONDUCCIÓN DE PROGRAMAS DE TELEVISIÓN,SPR,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00092208,006AYL998 - UNIDAD DE ADMINISTRACIÓN Y FINANZAS,CIUDAD DE MÉXICO
70,AA-06-G2T-006G2T002-N-273-2024,NACIONAL,MATERIAL DE LIMPIEZA,CMM,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00043465,006G2T002 - DIRECCIÓN CORPORATIVA DE ADMINSITRACIÓN,SAN LUIS POTOSÍ
71,AA-86-X75-927006974-N-17-2024,NACIONAL,22102.-PRODUCTOS ALIMENTICIOS PARA PERSONAS DERIVADO DE LA PRESTACION,SSALUDTAB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00048332,927006974 - SUBDIRECCIÓN DE RECURSOS MATERIALES Y SERVICIOS GENERALES,TABASCO
72,AA-06-A00-006A00997-N-424-2024,NACIONAL,03-24-139  SERVICIOS PROFESIONALES PARA LA ELABORACIÓN DEL AVALÚO,INDAABIN,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00044266,006A00997 - DIRECCIÓN GENERAL DE AVALÚOS Y OBRAS,CIUDAD DE MÉXICO
73,AA-06-A00-006A00997-N-508-2024,NACIONAL,03-23-807   SERVICIOS PROFESIONALES PARA LA ELABORACIÓN DEL AVALÚO,INDAABIN,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00047656,006A00997 - DIRECCIÓN GENERAL DE AVALÚOS Y OBRAS,CIUDAD DE MÉXICO
74,AA-50-GYR-050GYR979-N-18-2024,NACIONAL,ADJUDICACIÓN DIRECTA,IMSS,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00046662,050GYR979 - DEPARTAMENTO DE CONSERVACION Y SERVICIOS GENERALES,NUEVO LEÓN
75,AA-50-GYR-050GYR082-N-155-2024,NACIONAL,SUMINISTRO DE GAS NATURAL PARA EL EJERCICIO 2024,IMSS,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00043443,050GYR082 - HOSPITAL DE TRAUMATOLOGIA Y ORTOPEDIA NO. 21,NUEVO LEÓN
76,AA-11-B00-011B00001-N-3589-2024,NACIONAL,PRESTACIÓN DE SERVICIOS PROFESIONALES,IPN,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00046759,011B00001 - DIRECCION DE RECURSOS MATERIALES E INFRAESTRUCTURA,CIUDAD DE MÉXICO
77,AA-47-HHG-047HHG001-N-36-2024,NACIONAL,DERECHOS LABORALES DE LAS MUJERES TRABAJADORAS DEL HOGAR,SEMUJERES,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00058966,054400002 - UNIDAD DE ADMINISTRACIÓN Y FINANZAS,CIUDAD DE MÉXICO
78,AA-38-91C-03891C999-N-91-2024,NACIONAL,SERVICIO DE EVALUACIÓN ACTUARIAL.,COLEF,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00056898,03891C999 - DIRECCION DE RECURSOS MATERIALES Y SERVICIOS,BAJA CALIFORNIA
79,AA-08-VSS-008VSS991-N-269-2024,NACIONAL,HARINA DE MAIZ,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00059992,"008VSS991 - UNIDAD OPERATIVA SAN LUIS POTOSÍ, SUBGERENCIA DE LA UNIDAD OPERATIVA",SAN LUIS POTOSÍ
80,AA-11-B00-011B00001-N-4274-2024,NACIONAL,ADQUISICIÓN DE MATERIALES ESIQIE-ADQ-465-2024,IPN,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00056118,011B00001 - DIRECCION DE RECURSOS MATERIALES E INFRAESTRUCTURA,CIUDAD DE MÉXICO
81,AA-10-LAU-010LAU001-N-8-2025,NACIONAL,SERVICIOS PROFESIONALES PARA OPERAR COMO PILOTO AVIADOR LEOPOLDO GABRIEL,SGM,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2025-00009778,010LAU001 - SUBGERENCIA DE ADQUISICIONES,HIDALGO
82,AA-16-B00-016B00015-N-2-2025,NACIONAL,SERVICIO DE GUARDA Y CUSTODIA DE ARCHIVO,CONAGUA,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2025-00009549,016B00015 - SUBDIRECCION GENERAL DE ADMINISTRACION,CIUDAD DE MÉXICO
83,AA-11-B01-011B01001-N-348-2025,NACIONAL,ASISTENTE DE DISEÑADOR,ONCETV,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00116411,011B01001 - DIRECCION DE ADMINISTRACION Y FINANZAS,CIUDAD DE MÉXICO
