NÚM.,NÚMERO DE IDENTIFICACIÓN,CARÁCTER,NOMBRE,SIGLAS DEPENDENCIA O ENTIDAD,ESTATUS,FECHA JUNTA DE ACLARACIONES,FECHA DE PRESENTACIÓN Y APERTURA DE PROPOSICIONES,TIPO DE PUBLICACIÓN,TIPO DE CONTRATACIÓN,CÓDIGO DE EXPEDIENTE,UNIDAD COMPRADORA,ENTIDAD FEDERATIVA
291,AA-08-VSS-008VSS967-N-35-2024,NACIONAL,BRAND AND PUSH S.A. DE C.V.,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00069302,008VSS967 - UNIDAD OPERATIVA QUINTANA ROO-ABASTO,QUINTANA ROO
292,AA-51-GYN-051GYN004-N-42-2026,NACIONAL,PRODUCTOS ALIMENTICIOS PARA EL PERSONAL RMYO/127/2026,ISSSTE,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2026-00018611,051GYN004 - DEPARTAMENTO DE ADQUISICIONES EN SUBDELEGACION DE ADMINISTRACION EN DELEGACION CHIHUAHUA,CHIHUAHUA
293,AA-08-VSS-008VSS980-N-297-2024,NACIONAL,PRODUCTOS DIVERSOS,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00087646,008VSS980 - UNIDAD OPERATIVA GUERRERO - ABASTO,GUERRERO
294,AA-12-NBB-012NBB002-N-1-2025,NACIONAL,ALIMENTOS PERECEDEROS,HG,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2025-00010307,012NBB002 - SUBDIRECCION DE RECURSOS MATERIALES,CIUDAD DE MÉXICO
295,AO-84-W47-925006998-N-41-2024,NACIONAL,MODIFICACION Y ADECUACION DE INFRAESTRUCTURA AO-N-41,SALUDSINALOA,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,OBRA PÚBLICA,E-2024-00103507,925006998 - SERVICIOS DE SALUD DE SINALOA,SINALOA
296,AA-13-J2U-013J2U001-N-60-2025,NACIONAL,SERVICIOS PROFESIONALES DE OPERADOR RADARISTA EN EL CCTM,ASIPONA-Progreso,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2025-00013020,013J2U001 - PROGRESO-GERENCIA DE ADMINISTRACION Y FINANZAS,YUCATÁN
297,AA-12-NBG-012NBG003-I-448-2024,INTERNACIONAL ABIERTO,RM-AF-0950/24,HIM,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00081610,012NBG003 - SUBDIRECCION DE RECURSOS MATERIALES,CIUDAD DE MÉXICO
298,AA-08-VSS-008VSS008-N-609-2024,NACIONAL,MERCANCIAS GENERALES,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00086891,008VSS008 - SUBGERENCIA OPERACIONES REGIONAL NORTE CENTRO,CHIHUAHUA
299,AA-06-A00-006A00997-N-2065-2024,NACIONAL,03-24-345                SERVICIOS PROFESIONALES PARA LA ELABORACIÓN  DE AVALÚOS,INDAABIN,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00085812,006A00997 - DIRECCIÓN GENERAL DE AVALÚOS Y OBRAS,CIUDAD DE MÉXICO
300,AA-12-NEF-012NEF001-T-133-2024,INTERNACIONAL BAJO LA COBERTURA DE TRATADOS,"133, ADQUISICIÓN DE MEDICAMENTOS E INSUMOS PARA LA SALUD 2024 (INSUMOS).",BIRMEX,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00085987,012NEF001 - DIRECCION GENERAL,MÉXICO
